"pid3","lr1","hs1","weight"
"Democrat","R","Hard",0.852201604368991
"Independent","M","Hard",0.760915198379975
"Republican","R","Hard",0.826919145624216
"Democrat","L","Soft",1.19372290937804
"Independent","M","Hard",0.826919145624216
"Independent","M","Hard",0.852201604368991
"Independent","L","Soft",1.64892211171502
"Democrat","M","Hard",0.9135255093121
"Independent","L","Soft",0.784179633860897
"Republican","M","Hard",0.760915198379975
"Independent","M","Hard",0.667152939722186
"Independent","L","Hard",0.747190760286039
"Democrat","M","Soft",1.27962247803388
"Independent","L","Hard",0.72502368212688
"Democrat","L","Hard",0.677170289826238
"Republican","M","Hard",1.14224603809497
"Independent","M","Hard",0.735909965653739
"Democrat","M","Hard",0.735909965653739
"Independent","R","Hard",0.687550661511841
"Republican","R","Hard",0.677170289826238
"Republican","L","Hard",1.09844101349769
"Democrat","M","Hard",0.784179633860897
"Independent","M","Hard",1.45946174220574
"Democrat","R","Hard",1.08320878126025
"Independent","R","Hard",0.72502368212688
"Republican","R","Hard",0.772340395644099
"Republican","R","Hard",0.852201604368991
"Democrat","R","Soft",0.784179633860897
"Democrat","M","Soft",0.72502368212688
"Independent","R","Soft",0.826919145624216
"Democrat","L","Soft",1.04662878320849
"Republican","L","Soft",0.852201604368991
"Independent","L","Hard",0.772340395644099
"Republican","L","Soft",0.899733457523381
"Republican","L","Hard",0.667152939722186
"Independent","M","Hard",0.772340395644099
"Republican","M","Hard",0.667152939722186
"Independent","L","Hard",1.09844101349769
"Independent","M","Hard",1.19372290937804
"Democrat","L","Soft",0.72502368212688
"Republican","R","Hard",0.72502368212688
"Republican","L","Hard",0.760915198379975
"Democrat","L","Hard",0.747190760286039
"Republican","M","Hard",0.784179633860897
"Democrat","L","Soft",0.687550661511841
"Democrat","M","Hard",0.760915198379975
"Independent","R","Hard",0.852201604368991
"Independent","M","Soft",0.784179633860897
"Independent","R","Hard",1.09844101349769
"Democrat","M","Hard",0.87279930503644
"Democrat","M","Soft",1.30277829703891
"Independent","L","Hard",0.760915198379975
"Republican","L","Hard",0.839335396975683
"Democrat","L","Hard",0.677170289826238
